+-------------------------------------+------+-----------+------------------------------------------------+---------+---------------+------------------+
| OSV URL                             | CVSS | ECOSYSTEM | PACKAGE                                        | VERSION | FIXED VERSION | SOURCE           |
+-------------------------------------+------+-----------+------------------------------------------------+---------+---------------+------------------+
| https://osv.dev/GHSA-22wj-vf5f-wrvj | 7.8  | Maven     | com.h2database:h2                              | 2.1.214 | 2.2.220       | ../sbom.cdx.json |
| https://osv.dev/GHSA-h46c-h94j-95f3 | 8.7  | Maven     | com.fasterxml.jackson.core:jackson-core        | 2.13.5  | 2.15.0        | ../sbom.cdx.json |
| https://osv.dev/GHSA-vmq6-5m68-f53m | 7.1  | Maven     | ch.qos.logback:logback-classic                 | 1.2.12  | 1.2.13        | ../sbom.cdx.json |
| https://osv.dev/GHSA-6v67-2wr5-gvf4 | 2.4  | Maven     | ch.qos.logback:logback-core                    | 1.2.12  | 1.3.15        | ../sbom.cdx.json |
| https://osv.dev/GHSA-gm62-rw4g-vrc4 | 7.1  | Maven     | ch.qos.logback:logback-core                    | 1.2.12  | 1.2.13        | ../sbom.cdx.json |
| https://osv.dev/GHSA-pr98-23f8-jwxv | 5.9  | Maven     | ch.qos.logback:logback-core                    | 1.2.12  | 1.3.15        | ../sbom.cdx.json |
| https://osv.dev/GHSA-vmq6-5m68-f53m | 7.1  | Maven     | ch.qos.logback:logback-core                    | 1.2.12  | 1.2.13        | ../sbom.cdx.json |
| https://osv.dev/GHSA-m6vm-37g8-gqvh | 8.9  | Maven     | mysql:mysql-connector-java                     | 8.0.30  | --            | ../sbom.cdx.json |
| https://osv.dev/GHSA-24rp-q3w6-vc56 | 10.0 | Maven     | org.postgresql:postgresql                      | 42.3.8  | 42.3.9        | ../sbom.cdx.json |
| https://osv.dev/GHSA-4gg5-vx3j-xwc7 | 7.5  | Maven     | com.google.protobuf:protobuf-java              | 3.19.4  | 3.19.6        | ../sbom.cdx.json |
| https://osv.dev/GHSA-735f-pc8j-v9w8 | 8.7  | Maven     | com.google.protobuf:protobuf-java              | 3.19.4  | 3.25.5        | ../sbom.cdx.json |
| https://osv.dev/GHSA-g5ww-5jh7-63cx | 7.5  | Maven     | com.google.protobuf:protobuf-java              | 3.19.4  | 3.19.6        | ../sbom.cdx.json |
| https://osv.dev/GHSA-h4h5-3hr4-j3g2 | 5.7  | Maven     | com.google.protobuf:protobuf-java              | 3.19.4  | 3.19.6        | ../sbom.cdx.json |
| https://osv.dev/GHSA-3mc7-4q67-w48m | 7.5  | Maven     | org.yaml:snakeyaml                             | 1.30    | 1.31          | ../sbom.cdx.json |
| https://osv.dev/GHSA-98wm-3w3q-mw94 | 6.5  | Maven     | org.yaml:snakeyaml                             | 1.30    | 1.31          | ../sbom.cdx.json |
| https://osv.dev/GHSA-9w3m-gqgf-c4p9 | 6.5  | Maven     | org.yaml:snakeyaml                             | 1.30    | 1.32          | ../sbom.cdx.json |
| https://osv.dev/GHSA-c4r9-r8fh-9vj2 | 6.5  | Maven     | org.yaml:snakeyaml                             | 1.30    | 1.31          | ../sbom.cdx.json |
| https://osv.dev/GHSA-hhhw-99gj-p3c3 | 5.5  | Maven     | org.yaml:snakeyaml                             | 1.30    | 1.31          | ../sbom.cdx.json |
| https://osv.dev/GHSA-mjmj-j48q-9wg2 | 8.3  | Maven     | org.yaml:snakeyaml                             | 1.30    | 2.0           | ../sbom.cdx.json |
| https://osv.dev/GHSA-w37g-rhq8-7m4j | 6.5  | Maven     | org.yaml:snakeyaml                             | 1.30    | 1.32          | ../sbom.cdx.json |
| https://osv.dev/GHSA-rc42-6c7j-7h5r | 7.3  | Maven     | org.springframework.boot:spring-boot           | 2.7.18  | 3.3.11        | ../sbom.cdx.json |
| https://osv.dev/GHSA-4gc7-5j7h-4qph | 5.3  | Maven     | org.springframework:spring-context             | 5.3.31  | 6.1.14        | ../sbom.cdx.json |
| https://osv.dev/GHSA-4wp7-92pw-q264 | 3.1  | Maven     | org.springframework:spring-context             | 5.3.31  | 6.1.20        | ../sbom.cdx.json |
| https://osv.dev/GHSA-jmp9-x22r-554x | 7.5  | Maven     | org.springframework:spring-core                | 5.3.31  | 6.2.11        | ../sbom.cdx.json |
| https://osv.dev/GHSA-9cmq-m9j5-mvww | 5.1  | Maven     | org.springframework:spring-expression          | 5.3.31  | 5.3.39        | ../sbom.cdx.json |
| https://osv.dev/GHSA-2rmj-mq67-h97g | 5.3  | Maven     | org.springframework:spring-web                 | 5.3.31  | 5.3.38        | ../sbom.cdx.json |
| https://osv.dev/GHSA-2wrp-6fg6-hmc5 | 8.1  | Maven     | org.springframework:spring-web                 | 5.3.31  | 5.3.34        | ../sbom.cdx.json |
| https://osv.dev/GHSA-4gc7-5j7h-4qph | 5.3  | Maven     | org.springframework:spring-web                 | 5.3.31  | 6.1.14        | ../sbom.cdx.json |
| https://osv.dev/GHSA-4wrc-f8pq-fpqp | 9.8  | Maven     | org.springframework:spring-web                 | 5.3.31  | 6.0.0         | ../sbom.cdx.json |
| https://osv.dev/GHSA-ccgv-vj62-xf9h | 8.1  | Maven     | org.springframework:spring-web                 | 5.3.31  | 5.3.32        | ../sbom.cdx.json |
| https://osv.dev/GHSA-hgjh-9rj2-g67j | 8.1  | Maven     | org.springframework:spring-web                 | 5.3.31  | 5.3.33        | ../sbom.cdx.json |
| https://osv.dev/GHSA-cx7f-g6mp-7hqm | 7.5  | Maven     | org.springframework:spring-webmvc              | 5.3.31  | 6.1.13        | ../sbom.cdx.json |
| https://osv.dev/GHSA-g5vr-rgqm-vf78 | 7.5  | Maven     | org.springframework:spring-webmvc              | 5.3.31  | 6.1.14        | ../sbom.cdx.json |
| https://osv.dev/GHSA-r936-gwx5-v52f | 5.9  | Maven     | org.springframework:spring-webmvc              | 5.3.31  | 6.2.10        | ../sbom.cdx.json |
| https://osv.dev/GHSA-w3c8-7r8f-9jp8 | 5.3  | Maven     | org.springframework:spring-webmvc              | 5.3.31  | 5.3.42        | ../sbom.cdx.json |
| https://osv.dev/GHSA-27hp-xhwr-wr2m | 7.2  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.98        | ../sbom.cdx.json |
| https://osv.dev/GHSA-3p2h-wqq4-wf4h | 6.6  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.104       | ../sbom.cdx.json |
| https://osv.dev/GHSA-5j33-cvvr-w245 | 9.8  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.98        | ../sbom.cdx.json |
| https://osv.dev/GHSA-7w75-32cg-r6g2 | 7.5  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.86        | ../sbom.cdx.json |
| https://osv.dev/GHSA-83qj-6fr2-vhqg | 9.8  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.99        | ../sbom.cdx.json |
| https://osv.dev/GHSA-ff77-26x5-69cr | 2.7  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.104       | ../sbom.cdx.json |
| https://osv.dev/GHSA-gqp3-2cvr-x8m3 | 7.5  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.108       | ../sbom.cdx.json |
| https://osv.dev/GHSA-h2fw-rfh5-95r3 | 1.7  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.105       | ../sbom.cdx.json |
| https://osv.dev/GHSA-h3gc-qfqq-6h8f | 8.7  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.106       | ../sbom.cdx.json |
| https://osv.dev/GHSA-wc4r-xq3c-5cf3 | 6.3  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.106       | ../sbom.cdx.json |
| https://osv.dev/GHSA-wm9w-rjj3-j356 | 8.7  | Maven     | org.apache.tomcat.embed:tomcat-embed-core      | 9.0.83  | 9.0.90        | ../sbom.cdx.json |
| https://osv.dev/GHSA-v682-8vv8-vpwr | 6.3  | Maven     | org.apache.tomcat.embed:tomcat-embed-websocket | 9.0.83  | 9.0.86        | ../sbom.cdx.json |
+-------------------------------------+------+-----------+------------------------------------------------+---------+---------------+------------------+
